algorithm,similes,property,value
constant-0,COc1ccc(OC)c2c(C(=O)O)c(Cc3ccccc3)ccc12,diff_routes,0.0
constant-0,OCCC1CN(C2CCN(c3ccccc3F)CC2)CCN1Cc1ccccc1,diff_routes,0.0
constant-0,CN(C)C(=O)N1CC(=O)NCC12CCN(C(=O)c1ccco1)C2,diff_routes,0.0
constant-0,Oc1cc2c(cc1O)C1CC1C2,diff_routes,0.0
constant-0,CC(=Nc1ccc2c(c1)C(NC(=O)c1ccc(C(F)(F)F)cc1)C(O)C2)N(C)Cc1ccc(F)cc1,diff_routes,0.0
constant-0,CC(C)(C)C(=O)N1Cc2cnnn2-c2ccccc2C1C#N,diff_routes,0.0
constant-0,COc1ccc(C(c2nnnn2CS(=O)(=O)c2ccc(C)cc2)N2CCN(Cc3ccccc3)CC2)cc1,diff_routes,0.0
constant-0,Cc1cc(O)cc2c1-c1ccc(O)c(C)c1OC2,diff_routes,0.0
constant-0,Fc1ccc(-n2ncnc2-c2cc3c(s2)-c2ccccc2OCC3)c(F)c1,diff_routes,0.0
constant-0,Nc1nc(N)c2nnn(CC3CCC(CO)C3)c2n1,diff_routes,0.0
constant-0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,diff_routes,0.0
constant-0,COc1ccc(OC)c(N2C(N)=C(C#N)C(c3ccc(OC)c(O)c3)C3=C2CC(C)(C)CC3=O)c1,diff_routes,0.0
constant-0,CC(=CC=Cc1ccccc1)C1=CC(=O)C(C)(C)O1,diff_routes,0.0
constant-0,COc1cccc(N(C(=O)C2COc3ccccc3O2)C(C(=O)NC2CCCCC2)c2ccc(O)cc2)c1,diff_routes,0.0
constant-0,Cc1c(-c2ccccc2)[nH]n(-c2nc3ccccc3[nH]2)c1=O,diff_routes,0.0
constant-0,COc1ccncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,diff_routes,0.0
constant-0,CCCCOc1ccccc1C1CC(=O)Nc2cc(C)c(C)cc21,diff_routes,0.0
constant-0,CS(=O)(=O)N1CCc2[nH]cnc2C12CCN(C(=O)c1ccccc1)CC2,diff_routes,0.0
constant-0,CC(C)N(C(=O)c1cccc2c1Nc1ccccc1C=C2)C(C)C,diff_routes,0.0
