smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COC1Cc2ccccc2C2(CCC(N(C)Cc3ccccc3)CC2)O1,9562,inf,inf,7.740822993332676,inf,2.0,1000,226237
O=S(=O)(Nc1ccccc1)c1cc2c(cc1Cc1ccccc1)OCO2,9,3,1.8208647019456148,1.8208647019456148,3.0,1.0,5,472
CCCCCN(C)C(=O)CCCCCOc1cc(OC)c(OC)c2oc(-c3ccc(OC)cc3)c(O)c(=O)c12,2884,194,10.59003524012335,9.063340954521196,8.0,2.0,194,42418
O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)C(=O)N1,7,1,2.1211902727998155,2.1211902727998155,1.0,1.0,4,461
FC(F)(F)c1nnc(-c2ccncc2)o1,3,1,2.547220844691884,2.547220844691884,1.0,1.0,2,41
CCCCCc1nnc2nnc(N3CCCC3)nn12,9999,inf,inf,11.719927707860952,inf,2.0,410,38968
O=C(O)Cn1cc(I)c(=O)c(I)c1,9999,inf,inf,11.895855404012199,inf,2.0,244,159274
NC(=Nc1cccc(Cl)c1)Nc1nc(O)c2c(n1)CCC2,41,12,11.795180549274553,7.864729605939322,3.0,2.0,14,444
CC(=O)N1CCN(c2ccc(CN3CCCCN(c4ccccc4)S3(=O)=O)c(F)c2)CC1,5909,inf,inf,13.805611995129548,inf,2.0,1000,127066
Oc1cc(O)c2sc(-c3ccc(F)cc3)nc2c1,199,51,5.461156085471845,5.317792805396084,4.0,1.0,61,5660
COc1ccccc1NC(=S)N1N=C(c2ccc(O)c(C)c2)CC1c1ccccc1Cl,13,6,3.4706739839285685,3.1586021326210485,4.0,1.0,6,139
O=C(c1ccc[nH]1)N1CCn2cc(CN3CCCC3)nc2C1,13,7,4.05279341704388,4.05279341704388,4.0,1.0,7,291
O=C(NS(=O)(=O)CC12CC3CC(CC(C3)C1)C2)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1,9999,inf,inf,17.136054228565357,inf,3.0,506,78248
COC(=O)C12CCC(C)(C)CC1C1=CC(=O)C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C)CC2,9999,inf,inf,15.071452276462647,inf,3.0,738,172705
N=C(N)N1CCC(CC(NS(=O)(=O)Cc2cccc(C(=O)O)c2)C(=O)NCC(=O)NC2CCCN(C(=N)N)C2O)CC1,9999,inf,inf,11.023173899296845,inf,2.0,169,23185
CCCCOc1ccccc1-c1ccno1,5,3,2.0061333536462964,1.664841539678905,3.0,1.0,3,205
COCC1CN(Cc2ccccn2)Cc2cn(C)nc21,3046,352,13.728952226480624,11.297596012327643,8.0,2.0,378,57423
CN(Cc1ccc(F)cc1)C(=O)COc1ccccc1-c1ccccc1,10,3,3.0810125151319188,2.741461082878362,3.0,1.0,3,289
Cc1cc(Nc2cc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(OCCN5CCOCC5)cc4)c4ccccc34)ccn2)cc2cn[nH]c12,677,65,7.421545724653898,5.558162201907574,10.0,1.0,77,9408
O=C(O)CC1CCCN1,619,125,13.216537112537111,10.142734309435035,5.0,2.0,126,10368
CC(=CC=Cc1ccccc1)C1=CC(=O)C(C)(C)O1,6027,698,19.09728949345277,16.71150203738906,6.0,3.0,698,54225
C=CCOC(=O)NC(CC(=O)O)C(=O)COc1ccc2ccccc2c1,2050,330,17.720127899922034,10.432479414576756,7.0,2.0,344,46324
COc1c(O)ccc2c1-c1ccc3c(c1C(=Cc1ccc(OC(F)(F)F)cc1)O2)C(C)=CC(C)(C)N3,9999,inf,inf,14.267765625066005,inf,2.0,859,173559
O=C(NCCc1ccccc1)c1cc(-c2ccccc2)nc2n[nH]c(-c3ccccc3)c12,18,9,3.221010425011203,3.221010425011203,5.0,1.0,9,530
Cc1ccc2cccc(OCc3nc4ccccc4nc3COc3cccc4ccc(C)nc34)c2n1,69,14,9.104173780996907,5.722138859025989,4.0,1.0,24,1509
CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1cccs1,217,69,8.874529340230145,7.421536019985337,8.0,2.0,71,3789
CCn1c(C)c2c(c1C)SSc1c(c(C)n(CC)c1C)SS2,9999,inf,inf,16.891095122648085,inf,3.0,877,110698
Oc1ccc(C=C2CCCC3C2=NNC3c2ccc(O)cc2)cc1,6994,inf,inf,12.338485544037429,inf,2.0,1000,92450
O=C(NCc1ccccc1)c1cc(Oc2ccc(NC(=S)Nc3ccc(Cl)cc3Cl)cc2)ccn1,7,3,1.4926389811677871,1.4926389811677871,3.0,1.0,3,105
COCCN(Cc1ccco1)Cc1nc(-c2ccsc2)no1,1039,48,12.535883702178385,8.932361289330595,6.0,2.0,61,9443
CC(C)CC(C=O)NC(=O)C(NCS(=O)(=O)c1ccc(N=NN2CCCCC2)cc1)C(C)C,9999,inf,inf,12.224998544147999,inf,2.0,586,57603
CN(C(=O)COC(=O)c1ccc2c(c1)OCCO2)C1CCCCC1,55,10,11.244272958982398,6.8351867307526595,4.0,1.0,11,675
CCOC(=O)c1ccc(N2C(=O)c3[nH]nc(C)c3C2c2ccc(OC)cc2)cc1,5,3,5.316547872855171,3.935100904501299,2.0,1.0,3,71
Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)cc1,25,3,4.307061660849476,2.2093369982536606,3.0,1.0,8,455
CCOc1ccc(S(=O)(=O)NCCCc2ccc(N(C)C)cc2)cc1C,57,6,4.465154264601971,4.005674451287902,5.0,1.0,13,899
CCCCc1nn(CC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,206,22,10.695193730860293,6.393180304983396,5.0,2.0,26,2980
Cc1ccc(-c2nnn(CCC(=O)O)n2)cc1,9,5,2.9281860467398726,2.9281860467398726,3.0,1.0,5,162
CC(C)c1ccc(Nc2cc(C(=O)NCCc3ccccc3)c3ccccc3n2)cc1,3,2,1.0875828654312303,1.0875828654312303,2.0,1.0,2,49
O=[N+]([O-])c1ccc2c3ccccc3[s+]([O-])c2c1,5205,inf,inf,11.001632193488383,inf,2.0,1000,170050
CC(=O)Nc1ccc(N2C(=O)CSC2c2cccc(Br)c2)cc1,19,4,3.2656462516332994,2.6311107992201417,4.0,1.0,5,496
Cn1cnc2c(SCc3ccccc3)ncnc21,27,3,7.6461986409587,4.654741202240952,2.0,1.0,9,654
CC(=O)OCCCN1C(=O)c2cccc3cc(Br)cc(c23)C1=O,79,23,6.393490587716886,6.048780356035437,4.0,1.0,23,1649
CC(C)NC(=O)COc1ccc(-c2ccc(=O)n(C)c2)cc1,51,11,4.629286246835633,3.855676782389102,3.0,1.0,16,1852
CN(C(=O)c1ccc(OC2CCN(C(=O)c3cccnc3)CC2)cc1)C1CCCCC1,219,10,7.648262036127315,6.885519225802642,3.0,1.0,25,2450
O=CNc1ccccc1C(=O)Nc1nn[nH]n1,24,6,3.3957764694699026,3.2468898645117865,4.0,1.0,6,236
Cc1ccc(-c2csc3nc(C)n(N)c(=O)c23)o1,2747,65,19.72482262204548,14.26374089443592,10.0,2.0,96,3997
COc1cccc(C(=O)NC2CCN(CC(=O)NCc3ccccc3F)CC2)c1,76,10,6.344664600913403,4.017944571011085,4.0,1.0,18,1603
CSc1nc(N)nc2c1ncn2CC(=O)NCc1ccc2c(c1)OCO2,9,5,4.210602020166362,2.279359918315653,4.0,1.0,5,216
COc1ccc(-c2cc(C(=O)Nc3cc(C)on3)no2)cc1,37,5,4.062438791785363,4.062438791785363,5.0,1.0,9,480
Cc1cc(Cl)ccc1-c1ccc(NCc2ccc(Cl)cc2-c2ccc(C(=O)NCCC(=O)O)nc2)cc1,274,8,8.287905739861921,5.432489286224422,5.0,1.0,30,3772
COc1cc(CC2=C(c3ccc4c(c3)OCO4)C(=O)OC2(O)c2ccc(OCCOc3ccc(S(C)(=O)=O)cc3)cc2)cc(OC)c1OC,9330,inf,inf,8.392410731394856,inf,2.0,1000,241504
CN(C)CCc1c(C(=O)NCc2ccccc2)[nH]c2ccc(CCN3C(=O)N(C)C(C)(c4ccccc4)C3=O)cc12,9999,inf,inf,8.04210800546086,inf,2.0,649,168782
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2c(OCC(=O)O)cccc12,117,30,5.538162153571866,4.723963385841943,7.0,1.0,31,3826
CCN=C(N)Nc1ccc(Sc2ccc(Cl)cc2)cc1,29,7,7.319023423604588,6.703887350701263,3.0,2.0,11,450
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(N2CCC3(CC2)NCNC3=O)nc1,9999,inf,inf,10.925253637380774,inf,2.0,244,29808
CC(C)(C)CN1CCCC(c2cccc(O)c2)C1,23,12,3.9597060665158033,2.622184119398107,4.0,1.0,12,929
CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)c(O)c1)S(=O)(=O)c1ccc2ccccc2c1,2175,180,14.919621156798804,11.264486229748247,6.0,2.0,341,30407
CC(=O)Nc1nc2cc(-c3nn(Cc4cc5cccc(C)c5c(=O)n4-c4ccccc4C)c4ncnc(N)c34)ccc2o1,4693,220,12.083215912540252,10.486574768587317,10.0,2.0,220,34304
CCCSc1nsnc1OC1CN2CCC1C2,6891,969,18.26140222913831,14.826164785721538,5.0,2.0,969,94889
COc1cc2c(c(O)c1OC)OCC(c1cc(O)c(OC)c(OC)c1O)C2O,6565,inf,inf,7.288211440634774,inf,2.0,1000,270013
CCNc1nc(NC(C)C)nc(N(C#N)CCOc2ccc(Cl)cc2Cl)n1,63,12,5.525184658108059,4.755730166363671,5.0,1.0,16,1364
CCCCC(=O)Nc1nc2ccc3nc(C)sc3c2s1,13,5,3.390357523886649,1.5498128104653295,4.0,1.0,7,219
NC(Cc1cc(F)ccc1F)c1ccc(-c2ccncc2)cc1,50,15,6.840677156152415,4.783137898861645,5.0,1.0,16,1298
COc1ccc(-c2cc(C(=O)N(C)Cc3ccccc3F)c3ccccc3n2)cc1OC,14,4,3.4516356184215016,1.8243485846121537,3.0,1.0,4,257
O=C(O)c1cn(CC#Cc2ccccc2)c2c(F)cccc2c1=O,9,4,1.5908314985618524,1.5908314985618524,4.0,1.0,5,188
Cn1nc(C(F)(F)F)c(CO)c1Sc1ccc(F)cc1,49,9,10.236237933994275,5.282826538289227,5.0,1.0,16,739
Cc1ccc(C=C2SC(=O)N(CCC(=O)N3CCN(C)CC3)C2=O)cc1,57,20,6.9574616552222075,3.7586951872178016,3.0,1.0,21,813
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc1)CCN2,9999,inf,inf,10.665411481541712,inf,2.0,737,118952
CC(C)(C)C1CCC(N=C(O)C2CCN(Cc3cccc(NC(=O)c4ccc(Cl)cc4)c3)CC2)CC1,9999,inf,inf,14.80927540930104,inf,3.0,712,192632
COc1ccccc1N1CCN(Cc2cc3ccccn3n2)CC1,25,11,5.128846228105248,4.0396635748383645,6.0,1.0,11,471
CNC(Cc1ccccc1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,566,60,20.06776931766478,6.01926301656948,9.0,1.0,65,8527
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CSc3nc(O)c4ccccc4n3)CC2)cc1,189,21,10.57519774396334,7.109553164887711,5.0,1.0,33,3145
Cn1nc(-c2cccs2)cc1-c1ccc(C(=O)Nc2c(F)cccc2F)s1,335,61,7.879716438206161,7.292678659281524,6.0,2.0,62,4891
CCOC(=O)c1c(N)n(-c2ccc(F)cc2)c2nc3ccccc3nc12,5771,inf,inf,17.99587288314507,inf,3.0,1000,84152
COc1ccc(C(=O)N2CCCC3c4ccccc4CCC32)cc1O,2048,131,14.878508591396328,11.455942170907333,6.0,2.0,254,20169
O=C(Nc1ccc2c(c1)CCCN2C(=O)c1cccs1)c1cccc(C(F)(F)F)c1,7,4,3.2756473631039045,2.196980031912728,4.0,1.0,4,123
FCCn1cc(-c2ccncc2)c(-c2ccc(OCc3nc4ccccc4o3)cc2)n1,76,13,6.391197591986119,5.956659763551299,7.0,1.0,19,806
Cc1cccc(N2CCCn3c2nc2c3c(=O)[nH]c(=O)n2C)c1,79,37,7.685862862196451,7.473798678021547,4.0,2.0,37,1647
CNC(=O)OC1CCc2ccc(N3CCN(C4COC4)CC3)cc2C1NC(=O)c1ccc(F)cc1,8345,inf,inf,7.89294844289495,inf,2.0,1000,170740
COc1cc(-c2cc(OC)c(-n3c(=O)ccc4cc(S(=O)(=O)Nc5ccon5)ccc43)cc2F)ccc1Cl,458,30,5.943464462169599,4.503372425839238,10.0,1.0,31,7229
CC(NCc1ccc(Cl)o1)c1nnc2n1CCCC2,509,30,11.347068156102612,8.623077581646326,6.0,2.0,34,1295
COc1cc(-c2nc(C)c(C(C)=O)n2O)ccc1OCC(=O)Nc1ccc(Cl)cc1,9999,inf,inf,10.295776046961224,inf,2.0,323,145070
CN(C)C(C)(c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1)C(F)(F)F,1015,143,14.353059088070424,10.157169581210518,6.0,2.0,150,15274
