target_index_in_batch,pos_value_sum,cost_pos_react,pos_value_plus_cost,pos_value_plus_cost_div_temp,index_neg_for_target,neg_value_sum,cost_neg_react,neg_value_plus_cost,neg_value_plus_cost_div_temp,exp_minus_pos_value_plus_cost_div_temp,exp_minus_neg_value_plus_cost_div_temp
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,16,6.847863679383323,6.844028418067517,13.69189209745084,1.369189209745084,0.9141902225874019,0.25431307054441266
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,17,6.880812287118582,6.871847246559712,13.752659533678294,1.3752659533678293,0.9141902225874019,0.2527723612037522
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,18,7.057238856964832,7.05078237799082,14.108021234955652,1.4108021234955652,0.9141902225874019,0.24394752860989039
26,0.0037571690436972727,0.893408912850057,0.8971660818937542,0.08971660818937542,19,7.206131444715497,7.200585496353672,14.40671694106917,1.440671694106917,0.9141902225874019,0.23676866913858574
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,0,0.28464008728577234,0.2821762776319214,0.5668163649176937,0.05668163649176937,0.5380931306154195,0.9448948415231998
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,1,2.2610756572076904,2.260136880894289,4.521212538101979,0.4521212538101979,0.5380931306154195,0.6362770140351778
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,2,3.327713911930207,3.323756350260229,6.651470262190436,0.6651470262190436,0.5380931306154195,0.5141979215724772
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,3,3.8024781855540004,3.801793389035065,7.604271574589065,0.7604271574589065,0.5380931306154195,0.4674667024672827
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,4,4.990865705242908,4.9884036215104866,9.979269326753395,0.9979269326753395,0.5380931306154195,0.36864287106772536
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,5,5.209486607975562,5.2045309802900395,10.414017588265601,1.04140175882656,0.5380931306154195,0.35295957083282237
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,6,5.483705021194764,5.480849111407433,10.964554132602196,1.0964554132602196,0.5380931306154195,0.3340530677122974
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,7,5.534307561946218,5.53069799968411,11.065005561630327,1.1065005561630328,0.5380931306154195,0.3307142544135304
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,8,5.580822931074897,5.578625865115749,11.159448796190645,1.1159448796190645,0.5380931306154195,0.32760558477065294
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,9,5.62578754069004,5.623481581245311,11.249269121935352,1.1249269121935352,0.5380931306154195,0.3246761963621922
27,1.1102230246251565e-16,6.19723628568213,6.19723628568213,0.619723628568213,10,6.200128642714176,6.19723628568213,12.397364928396307,1.2397364928396306,0.5380931306154195,0.2894604828003027
