smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Embedding-from-fingerprints
COc1cccc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)c1,49,11.0,9.20817420162166,009-011,9.20817420162166,6.0,1.0,11,595,0.0,0.0,0.7238805970149254,0.9996998123827392,0.03192507341835915
CCc1cnc(-c2ccc(C)nc2C=O)o1,9,5.0,2.473461378995357,001-003,2.473461378995357,5.0,1.0,5,138,0.0,0.0,0.6341463414634146,0.9996998123827392,0.05315997051731236
CN(c1cc2c(cn1)ncn2C)c1ccc(C2CN(S(C)(=O)=O)C2)cc1F,1568,158.0,18.19606715253657,018-019,10.60636586122123,9.0,2.0,241,22829,0.0,0.0,0.7642276422764227,0.999624765478424,0.04566216589483685
COC[C@H](C)N(Cc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)NC5CC5)cc4F)c3s2)nc1)C(C)=O,37,11.0,6.831966004534433,006-008,6.133563814308026,3.0,1.0,13,562,0.0,0.0,0.36111111111111116,0.9998499061913696,0.02730961421374767
COCCNc1cc(NC(=O)N2CCCc3cc(N4CCOCC4=O)c(C(OC)OC)nc32)ncc1C#N,7,4.0,3.164918247080756,003-004,2.9327067580025106,4.0,1.0,4,244,0.0,0.0,0.6103896103896104,0.999624765478424,0.030615583886430375
CC(C)(C)[Si](C)(C)OCCN(C#N)c1ccc(NC(=O)c2nccnc2C(=O)Nc2ccc(C#N)cn2)cc1,9,3.0,1.234559911339605,001-003,1.234559911339605,3.0,1.0,5,237,0.0,0.0,0.5683453237410072,0.9996998123827392,0.04005114567978629
Cc1ccc(-c2ccccc2C(=O)Nc2ccc(C(=O)N(C)c3ccccc3CN(C)C)cc2)cc1,251,10.0,7.10233966712917,006-008,6.33740218285559,2.0,1.0,30,3562,0.0,0.0,0.28,0.9998499061913696,0.0309212234093883
C=Cc1ccc(NC(=O)OC(C)(C)C)c(C(=O)OCc2ccccc2)c1C,13,6.0,4.7384427973569645,004-006,3.164810708778227,4.0,1.0,7,339,0.0,0.0,0.5163934426229508,0.9997748592870545,0.03465385086979378
CC(Nc1ncnc(N)c1C#N)c1cc(=O)n(Cc2ccccc2)nc1-c1ccccc1,135,33.0,10.349975871097168,009-011,7.098420044038268,5.0,1.0,41,2454,0.0,0.0,0.5323741007194245,0.9997748592870545,0.045271884309949884
COCc1nc(C(F)(F)F)ccc1Cn1nc2c(-c3ccncc3)c(-c3ccc(Cl)cc3)ccn2c1=O,95,14.0,7.758720629545416,006-008,4.827192145603159,3.0,1.0,29,1605,0.0,0.0,0.30000000000000004,0.9998499061913696,0.0524508708601219
CC1(N2CCC(n3c(=O)[nH]c4ccccc43)CC2)CCN(C(=O)OCCF)C1,27,6.0,8.34376480499583,008-009,3.606366748200141,3.0,1.0,12,681,0.0,0.0,0.5877192982456141,0.9996998123827392,0.03198482954131032
Cc1oc(-c2ccccc2)nc1C(=O)Nc1ccccc1-c1nc2cc(CN3CCCC3)cnc2s1,59,16.0,9.832479939028246,009-011,6.173913227686572,5.0,1.0,18,963,0.0,0.0,0.6993006993006994,0.9996998123827392,0.042190645668092275
O=S(=O)(NCC(O)CN1c2ccccc2CCc2ccccc21)c1ccc(Cl)cc1,19,10.0,3.0946221846150537,003-004,3.0946221846150537,4.0,1.0,10,425,0.0,0.0,0.5877862595419847,0.9996998123827392,0.07766491769509354
CC(C)Nc1nc(NC23CCC(O)(CC2)CC3)ncc1C(N)=O,27,5.0,4.569410196672175,004-006,3.5114156287873275,3.0,1.0,10,596,0.0,0.0,0.7159090909090908,0.999624765478424,0.03824044636728319
COc1ncc(C(=O)O)cc1OC1CCCC1,33,12.0,5.455432019783478,004-006,4.3689747919361634,4.0,1.0,12,729,0.0,0.0,0.6341463414634146,0.9996998123827392,0.10109186604229126
O=C(Nc1ccc2ccccc2n1)c1ccc2nc(-c3c(Cl)cccc3C(F)(F)F)[nH]c2c1,17,5.0,3.3773768362578758,003-004,2.373116657203604,3.0,1.0,6,360,0.0,0.0,0.7,0.9996998123827392,0.06512230275446684
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(COc1ccc(CC(Cl)C(=O)O)cc1)O2,23,11.0,4.404285692263688,004-006,3.8808551856998457,4.0,1.0,11,584,0.0,0.0,0.5038759689922481,0.9997748592870545,0.022570957654766244
Cc1cc(C)c(CNC(=O)c2cc(-c3cccc(CN(C)CCCN(C)C)c3)nc3c2cnn3C(C)C)c(=O)[nH]1,214,7.0,9.144673588693784,009-011,6.781542690789092,4.0,1.0,44,3566,0.0,0.0,0.7043010752688172,0.999624765478424,0.043739710258146935
O=C(NCC1(c2ncc(Br)cc2Cl)CC1)c1nccnc1C(F)(F)F,11,3.0,4.10723741284663,004-006,2.582676744239701,3.0,1.0,5,338,0.0,0.0,0.6444444444444444,0.9996998123827392,0.03072337154345295
NCc1ccc(OC2CCCCCC2)cn1,5,2.0,3.888011347391226,003-004,2.8093442956917825,2.0,1.0,3,176,0.0,0.0,0.6846846846846847,0.9996998123827392,0.02942985277450294
Cc1cc(C(=O)N(C)c2ccccc2-c2ccco2)ccc1C#N,57,8.0,5.081740123166142,004-006,3.7928773198311383,4.0,1.0,13,1359,0.0,0.0,0.6185567010309279,0.9996998123827392,0.04682287442568356
COc1cc(C=CC(=O)NCc2ccc(C)cc2)ccc1OCc1ccccc1,3,2.0,3.7328744628030712,003-004,3.609245892221242,2.0,1.0,2,93,0.0,0.0,0.4910714285714286,0.9997748592870545,0.02849866847036464
Nc1nonc1-c1nc2cnccc2n1-c1ccc(OC2CCN(CC(=O)O)CC2)cc1,35,15.0,6.051899383611426,006-008,6.033688094955096,4.0,1.0,15,723,0.0,0.0,0.3770491803278688,0.9997748592870545,0.032899836534883486
CCN1Cc2cc(N)ccc2C1=O,7,3.0,1.5070010299238228,001-003,1.5070010299238228,3.0,1.0,4,182,0.0,0.0,0.6617647058823529,0.9996998123827392,0.03050129042051508
CN(C)C(=O)C1CCN(c2cccc(B3OC(C)(C)C(C)(C)O3)c2)CC1,7,3.0,1.902143531268665,001-003,1.902143531268665,3.0,1.0,4,246,0.0,0.0,0.5510204081632653,0.9997748592870545,0.04932468651236244
COC(=O)Cc1ccc(OC)c(-c2ccc(C(F)(F)F)cc2CN(Cc2ccccc2)C(=O)OC)c1,32,13.0,4.22213689510582,004-006,3.325321070432254,6.0,1.0,13,1017,0.0,0.0,0.6322580645161291,0.9997748592870545,0.044827210149929964
CC(=O)Nc1cncc(C(=NCCO[N+](=O)[O-])NC#N)c1,5,3.0,0.8139242088190127,000-001,0.8139242088190127,3.0,1.0,3,96,0.0,0.0,0.76,0.999624765478424,0.042205066313851125
CN(CCC(C)(C)N)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,21,11.0,5.389569350304095,004-006,4.053738551973018,3.0,1.0,11,612,0.0,0.0,0.33333333333333337,0.9998499061913696,0.03184589741542554
CNC(=O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCCC2,8,4.0,2.3444109491697684,001-003,2.036602768139338,4.0,1.0,4,272,0.0,0.0,0.7235772357723578,0.9996998123827392,0.029061304923016062
Fc1ccc(-c2nnc(NC3CCN(Cc4ccc5ccccc5c4)CC3)c3cc(F)ccc23)cc1,7,3.0,1.5254325702048137,001-003,1.5254325702048137,3.0,1.0,4,202,0.0,0.0,0.5931034482758621,0.9996998123827392,0.032173017395186854
Cn1c(=O)c2c[n+]([O-])ccc2c2ccc(Cl)cc21,11,6.0,3.204786725164071,003-004,2.0427989228737298,5.0,1.0,6,268,0.0,0.0,0.5454545454545454,0.9997748592870545,0.059634331020858355
COc1ccc(OCCOCc2ccccc2)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,17,6.0,2.346363719607439,001-003,2.346363719607439,5.0,1.0,6,486,0.0,0.0,0.6536312849162011,0.9997748592870545,0.03853630391460472
O=C1N(Cc2ccccn2)c2cccc(-c3cccnc3)c2C12COc1cc3c(cc12)CCO3,35,7.0,2.7093377263278864,001-003,2.5669131006769,7.0,1.0,16,787,0.0,0.0,0.7125748502994012,0.9996998123827392,0.13760993782909692
CC(C)NC(=O)C1CCN(c2nc(-c3ccnc(NC4CCOCC4)c3)cc3cnccc23)CC1,50,11.0,6.416778578730392,006-008,4.671820731442741,5.0,1.0,14,964,0.0,0.0,0.7019867549668874,0.999624765478424,0.04037855898853482
C=CCc1c(OC)cc(C(C)(C)C)c(OC(C)=O)c1C(C)(C)C,5,3.0,2.020001161942094,001-003,1.8019278319916985,2.0,1.0,3,174,0.0,0.0,0.6818181818181819,0.9996998123827392,0.06036498133842816
COC(=O)CCC(=O)NCCCc1cccc(OCc2ccccc2)c1,77,8.0,5.783412372791658,004-006,4.608315990044734,3.0,1.0,27,2414,0.0,0.0,0.4509803921568627,0.9998499061913696,0.05052354180185936
