smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
Cn1cc(-c2cc3nccn3c(-c3cnn(C4(CC#N)CC5(COC5)C4)c3)n2)cn1,77,20.0,5.684252141588722,004-006,5.268984194679232,8.0,1.0,20,934,0.0,0.0,0.7591240875912408,7.591240875912408,1.1364040978493541,0.8712772736570379,0.000300187617260788,0.300187617260788
CN(C)S(=O)(=O)c1cccc(N)c1O,7,1.0,2.582173568410273,001-003,2.416509925412597,1.0,1.0,4,291,0.0,0.0,0.5593220338983051,5.593220338983052,0.7494860059326567,0.7478783550139054,0.000150093808630394,0.150093808630394
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccccc1C(O)CO,33,5.0,2.3463203062310223,001-003,2.233980179065508,3.0,1.0,15,1016,0.0,0.0,0.7283950617283951,7.283950617283951,1.071752902485208,0.8534606386520676,0.000300187617260788,0.300187617260788
CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3CNC(=O)OC)c(Br)c2=O)c1,11,6.0,3.1109873420151786,003-004,2.146073724352119,4.0,1.0,6,249,0.0,0.0,0.551948051948052,5.51948051948052,0.7366327756884004,0.7429320641539521,0.000225140712945591,0.225140712945591
COc1cc(NCCCCCCN2CCN(C(=NC#N)SC)CC2)c2nccc(C)c2c1,18,7.0,1.807215395136804,001-003,1.5267881035250706,3.0,1.0,7,564,0.0,0.0,0.7086614173228347,7.086614173228347,1.0312704146260252,0.8418202998994706,0.000300187617260788,0.300187617260788
O=c1c2ccccc2c(Cl)nn1C[C@H]1CCCN1CCCCc1ccc(OCCCN2CCCCCC2)cc1,4932,98.0,7.936729780664027,006-008,6.246303010248645,4.0,1.0,386,114859,0.0,0.0,0.5668789808917197,5.6687898089171975,0.7627568593578353,0.7529136609809386,0.000150093808630394,0.150093808630394
Cc1ccc(C(=O)Nc2ccc(C(=O)CCC(=O)O)cc2)cc1,3,2.0,1.8344312928947768,001-003,1.2588990700197704,2.0,1.0,2,101,0.0,0.0,0.5773195876288659,5.773195876288659,0.7812575215115181,0.75981549578096,0.000150093808630394,0.150093808630394
Cc1cc(Sc2cc(C#CCN3CCOCC3)cc(OCC3CC3)c2)ccc1OCC(=O)O,13,6.0,4.33866777531879,004-006,3.1439939719772334,4.0,1.0,7,598,0.0,0.0,0.7277777777777779,7.277777777777779,1.0704744372974755,0.8530989261379819,0.000225140712945591,0.225140712945591
CN(Cc1ccc(C(=O)O)s1)C(=O)OC(C)(C)C,29,9.0,4.157819182261672,004-006,3.6509327426466793,3.0,1.0,13,497,0.0,0.0,0.5555555555555556,5.555555555555555,0.7429089986334578,0.7453559924999299,0.000150093808630394,0.150093808630394
C=CCOC1CCN(CC)c2c(CO)cccc21,5,2.0,3.115186723520892,003-004,1.993135551625302,2.0,1.0,3,139,0.0,0.0,0.6309523809523809,6.309523809523809,0.8793996316104851,0.7943251103624894,0.000225140712945591,0.225140712945591
